county,state,num_wells,average_change
003,01,1,0.092
039,01,1,-5.278333333
043,01,1,-14.81
049,01,1,-0.279333333
079,01,1,-2.871
087,01,1,-7.024
089,01,1,-17.335
101,01,1,-1.59
119,01,1,-3.4475
125,01,1,-3.583
020,02,2,1.479375
068,02,2,0.270714286
090,02,35,0.823272531285714
110,02,20,1.6521065152
282,02,7,-0.294652013428572
001,04,21,6.50480158728572
003,04,130,2.77741977630769
005,04,47,3.01042167738298
007,04,45,37.9677925926667
009,04,48,22.7693516848542
012,04,37,5.45253603602703
013,04,157,-3.92284928424204
015,04,25,2.16723333332
017,04,32,7.78213541665625
019,04,84,7.23668693808334
021,04,9,-16.2317283952222
023,04,14,9.67159863971429
025,04,102,9.37869514470588
027,04,21,1.97681206495238
001,05,53,8.94594414488679
003,05,16,5.5769791666875
011,05,7,-4.09990476185714
013,05,5,-12.747333334
017,05,9,8.69166666666667
021,05,30,4.82933333333333
025,05,2,4.125
027,05,33,-1.02059595960606
031,05,40,7.5498125
035,05,21,4.87841269842857
037,05,41,12.7886585365854
039,05,6,1.29138888883333
041,05,23,8.96054865404348
043,05,16,2.5928125
051,05,3,-3.11047619033333
053,05,6,-4.39833333333333
055,05,23,3.37217391304348
063,05,5,-9.72
067,05,25,6.6441
069,05,27,-11.6823333333333
073,05,2,0.5694444445
075,05,19,7.7625
077,05,31,8.13193548387097
079,05,18,8.92
085,05,60,8.78149702366667
093,05,21,-1.34619047619048
095,05,24,6.6715625
097,05,1,-2.400333333
103,05,28,-1.26975
107,05,24,10.8058333333333
111,05,35,13.2852857142857
117,05,26,2.26684401707692
121,05,17,4.16588235294118
123,05,19,9.27144736842105
137,05,1,1.39
139,05,50,-38.2645038094
145,05,8,1.41625
147,05,24,3.85125
001,06,5,0.168
003,06,1,3.7
007,06,2,-5.3
009,06,5,-0.3974229438
011,06,1,-0.44
013,06,4,1.8
017,06,30,-0.290547008533333
019,06,32,26.1576060307813
021,06,7,3.52402040814286
025,06,135,6.19240738251852
027,06,34,-0.261133482647059
029,06,110,1.96851212121818
031,06,3,12.3
035,06,7,-0.657619047571429
037,06,279,7.8071090479319
039,06,6,1.74333333333333
045,06,4,-0.80114583325
047,06,16,8.5222916666875
049,06,6,21.36975
051,06,34,5.23713926779412
055,06,3,-7.55095238
061,06,3,-9.91666666666667
065,06,144,17.0264523181528
067,06,27,-1.21364652262963
071,06,903,7.67901315627465
073,06,113,5.1098628749469
077,06,14,-5.23191609978571
079,06,18,14.2547777779444
083,06,463,10.2342822045572
093,06,5,9.403
095,06,7,-1.55714285714286
099,06,29,1.53721662248276
101,06,10,1.3670757575
103,06,6,-1.72222222216667
107,06,2,9.645
111,06,6,8.28673611116667
113,06,10,-1.0557868687
115,06,2,-1.4
001,08,1,-0.735
003,08,134,3.00665647342537
005,08,3,-0.18
009,08,4,7.725
011,08,21,1.76452380952381
015,08,13,2.90576923076923
017,08,24,15.9764583333333
021,08,25,3.8040180572
023,08,43,12.3617991542791
025,08,5,3.413
027,08,41,-0.425975609756098
035,08,50,-1.66185333342
041,08,196,-0.0950127053724485
043,08,7,1.63214285714286
061,08,8,-4.05375
063,08,190,16.2349701754579
065,08,3,-0.856666666666667
067,08,2,2.088
073,08,15,2.49
075,08,10,2.226
087,08,2,-0.2766666665
089,08,19,0.484824561368421
093,08,33,0.102865013818182
095,08,52,18.5621153846154
099,08,33,3.13469696969697
101,08,73,1.14241295339726
105,08,33,12.5113329398182
109,08,161,6.06215444890683
115,08,11,5.01636363636364
121,08,62,2.91916666666129
123,08,1,-3.245
125,08,181,21.4622007366851
001,09,9,-3.90335497911111
003,09,32,-1.2648943386875
005,09,39,-0.659448944615385
007,09,10,-1.7189503986
009,09,15,-2.9384411256
011,09,15,-0.658515844133333
013,09,13,-1.851204909
015,09,6,-1.20410714283333
001,10,29,-1.78076517637931
003,10,55,0.238954414781818
005,10,66,-2.29834287678788
001,11,41,1.14642438331707
031,12,5,-0.0347111112
109,12,1,3.294444444
007,13,4,3.711
025,13,1,3.87
029,13,6,-4.06308333333333
031,13,9,0.220985986544445
033,13,4,33.52181818
035,13,1,0.280952381
037,13,3,1.25822222233333
039,13,47,-5.389748227
049,13,3,0.825
051,13,20,-9.78574654115
053,13,1,11.93
057,13,1,-0.555
067,13,51,-3.51136391466667
075,13,1,3.162
081,13,3,0.102666666666667
085,13,1,0.93375
087,13,5,-1.5098380952
089,13,1,-0.075454545
093,13,1,15.306
095,13,66,2.79332195790909
099,13,3,-0.113707072333333
103,13,5,-9.7505401514
121,13,2,0.291111111
127,13,78,-5.20382222248718
129,13,1,6.184
131,13,1,2.374
133,13,1,-3.177619048
135,13,40,0.56831165445
167,13,1,10.55
171,13,1,-2.89
175,13,2,3.5971666665
177,13,6,-2.0419259265
179,13,3,3.44
183,13,1,4.67
185,13,1,-3.622307692
191,13,4,-0.61608333325
195,13,3,0.819444444333333
201,13,5,4.0045939392
205,13,6,-0.446925926
209,13,1,12.78
235,13,1,6.11
243,13,3,8.36977777766667
245,13,8,-3.799166666625
247,13,3,-5.46138888866667
253,13,2,-10.89
255,13,1,-1.148333333
261,13,1,22.54
273,13,1,4.8625
277,13,3,2.94027777866667
279,13,1,11.10428571
289,13,3,1.28944444433333
295,13,1,-1.712121212
299,13,1,-0.295
303,13,1,-10.07875
305,13,5,2.604923077
311,13,1,0.511111111
321,13,4,-0.599628787
001,15,1,71.33666667
009,15,1,8.102
001,16,77,0.404539309896104
003,16,4,-3.09204166675
005,16,6,3.08409632033333
007,16,2,1.8645833335
011,16,52,5.83771801915385
013,16,16,2.4739062500625
015,16,1,0.213333333
017,16,3,-10.8754722233333
019,16,11,10.1459090909091
021,16,33,-1.69583356066667
023,16,308,5.83850327142857
025,16,5,-0.0573333334
027,16,43,-0.833309348209302
029,16,8,0.577291666625
031,16,47,5.72375005393617
033,16,9,7.18929976855556
037,16,4,0.81708333325
039,16,53,7.55207854149057
041,16,2,3.5175
043,16,30,7.317987302
045,16,5,0.6456666668
047,16,20,10.36574545505
051,16,77,8.75175745555844
053,16,13,8.26309506692308
055,16,24,-1.60766828995833
057,16,4,4.25599206275
059,16,5,5.0927333332
061,16,2,-7.585
063,16,6,17.5288797816667
065,16,27,5.29696061151852
067,16,13,7.68697552407692
069,16,6,4.2478194445
071,16,7,2.80666666714286
073,16,27,3.60742655237037
075,16,2,0.9786666665
077,16,16,2.1856597224375
081,16,2,9.8125
083,16,55,9.15893084218181
085,16,5,-1.223494244
087,16,6,1.17365476183333
003,17,1,-0.03
007,17,3,0.86
011,17,1,0.735
019,17,12,-1.104390873
023,17,1,-3.5
027,17,1,-0.18
031,17,6,-0.275705598166667
037,17,1,28.50833333
039,17,1,0.7
043,17,1,0.326428571
063,17,1,4.8575
089,17,2,-0.20325
091,17,1,-0.46
093,17,1,1.105
097,17,5,-6.651
103,17,3,-0.734166666666667
111,17,17,0.489270308117647
113,17,9,-1.28664814822222
119,17,9,-0.371296296333333
141,17,2,0.4
163,17,1,-2.5075
165,17,1,-1.079166667
171,17,1,0.47
177,17,1,-5.925
179,17,3,0.867179487333333
183,17,1,-0.92
191,17,1,-2.145
197,17,2,-3.755
201,17,1,-2.4335
203,17,1,0.436666667
005,18,1,-0.89
007,18,1,0.713333333
011,18,1,-4.856666667
017,18,1,-0.665
021,18,1,0.9
031,18,1,-1.636666667
035,18,1,0.375
039,18,1,-0.495
049,18,1,-1.34
053,18,2,-2.265
057,18,13,1.82371794869231
059,18,4,-1.74862373725
061,18,1,-9.465
063,18,1,-11.245
073,18,1,-8.13
077,18,1,-2.719
083,18,2,-1.4670833335
087,18,1,-0.19
089,18,87,0.489201149413793
091,18,1,-2.431666667
097,18,2,-0.315952381
101,18,1,-1.861666667
107,18,1,-3.5725
109,18,1,0.44
111,18,3,-6.59592592433333
113,18,1,-2.456666667
129,18,1,-5.613333333
131,18,1,-3.335
135,18,1,0.175
141,18,42,-1.24547619047619
145,18,1,-0.223333333
157,18,1,-0.938333333
163,18,1,-1.435
167,18,1,-2.23
177,18,1,-2.035
179,18,1,-1.745
183,18,1,0.49
003,19,2,0.573333333
007,19,1,17.05
009,19,3,1.596111111
011,19,4,1.20416666675
013,19,17,-1.36817398541176
017,19,1,-3.5
021,19,4,9.042500001
025,19,2,8.0941666665
027,19,5,1.3218333334
029,19,2,1.3575
033,19,2,49.508333335
035,19,2,3.95
043,19,4,-1.5379166665
045,19,2,24.52
047,19,7,3.26292516985714
049,19,1,37.5
053,19,1,14.32
055,19,1,0.345
061,19,1,12.495
065,19,1,6.8725
067,19,6,12.7861111106667
071,19,4,0.69714285725
073,19,5,-1.7373333324
075,19,1,-5
077,19,4,-0.276875
079,19,2,1.8085714285
081,19,1,-0.535
083,19,1,-1.913333333
085,19,6,-0.165565476166667
087,19,2,-1.4825
089,19,1,0.5
091,19,6,3.1328968255
093,19,2,-6.42
095,19,3,1.39333333333333
097,19,5,-0.303
099,19,3,-3.04388888766667
101,19,1,1.927142857
103,19,62,2.02172085729032
105,19,1,1.245
107,19,2,7.945
111,19,1,9.64
113,19,39,-1.56707534325641
117,19,1,4.374761905
119,19,4,2.2230555555
121,19,1,8.178
123,19,3,-37.2883333333333
125,19,3,-1.40037037033333
127,19,3,-0.0624603173333333
129,19,2,3.515
131,19,5,2.6333333334
133,19,11,2.44170509463636
137,19,2,0.828388889
139,19,6,12.7699735456667
141,19,3,4.09293650766667
143,19,4,4.53916666675
145,19,1,0.055
149,19,3,6.03111111
155,19,2,-0.1991666665
163,19,1,-9.69
165,19,5,2.5203333334
167,19,2,10.071666665
169,19,2,-7.828333335
177,19,1,0.64
183,19,3,0.692878788
187,19,2,0.5083333335
193,19,2,-6.328333335
007,20,2,3.9725
009,20,21,0.953361678
023,20,34,7.26019607852941
039,20,31,1.694327957
047,20,36,6.43330687838889
055,20,50,37.81543000092
057,20,41,12.5942520328293
061,20,27,0.0321643151111111
063,20,18,2.90916666666667
065,20,14,-0.576785714285714
067,20,18,44.205185185
069,20,31,29.2535000000968
071,20,13,8.79076923069231
075,20,6,16.7713888888333
079,20,403,-3.93373211956576
081,20,18,44.4282407409445
083,20,10,4.821
093,20,20,25.0348833328
095,20,23,-0.0358115942173914
097,20,23,5.88028985508696
101,20,19,4.40570175436842
109,20,7,1.34357142857143
113,20,28,2.94347619039286
119,20,22,32.9750757578636
129,20,9,17.5666666666667
135,20,2,-0.755
137,20,7,-0.633214285714286
145,20,27,3.29730246911111
147,20,1,-3.7475
149,20,19,1.10120551389474
151,20,37,2.15378378378378
153,20,26,4.33423076923077
155,20,268,1.2704570895597
157,20,1,1.015
159,20,11,-0.247954545454545
161,20,19,1.07047723463158
165,20,3,0.480000001
171,20,32,7.761614583625
173,20,184,-1.58457118514674
175,20,26,39.4692307693462
179,20,49,10.8623639455918
181,20,57,19.1550877191228
185,20,46,0.779884057978261
187,20,14,27.5126190478571
189,20,22,56.1906818181818
193,20,47,11.687851386234
195,20,2,2.3025
199,20,18,20.3321296294444
203,20,33,8.71782828284848
035,21,1,0.492380952
047,21,1,-1.021904762
059,21,1,0.385238095
063,21,1,-0.4875
067,21,1,1.161944444
069,21,75,-0.153775238173333
073,21,1,-0.512222222
083,21,1,-2.984545455
085,21,1,-0.028333333
093,21,32,-0.14763812234375
101,21,1,0.69
111,21,33,1.86441161615152
123,21,1,-1.202857143
141,21,1,-3.461428571
163,21,2,-6.2754166665
169,21,1,0.08125
227,21,1,-0.486666667
001,22,5,4.5468333334
003,22,6,0.576111111166667
005,22,1,5.645
009,22,3,-0.00500000000000019
011,22,11,0.724560606090909
013,22,4,6.49270833425
015,22,93,-0.108034050204301
017,22,63,-1.59390740731746
019,22,26,-7.11682051296154
021,22,3,0.815833333333333
023,22,9,0.453611111111111
025,22,2,1.57625
027,22,4,-7.6408333335
029,22,2,1.5995
031,22,10,3.022016667
033,22,58,8.46173534684483
035,22,3,-1.22166666666667
037,22,5,4.9953333334
039,22,4,3.650701291
041,22,4,2.71735190775
043,22,32,1.31276785725
045,22,1,2.342
047,22,1,-0.365
049,22,4,0.458095239
051,22,3,-10.516388889
053,22,5,0.9295
055,22,1,8.5025
059,22,3,-1.02444444433333
061,22,4,11.420625
063,22,7,3.97333333328571
065,22,2,-4.2608333335
067,22,11,-3.215469697
069,22,113,1.14328697854867
071,22,6,-18.2616166661667
073,22,10,7.0611341463
077,22,10,6.7868333333
079,22,95,-0.219894736757895
081,22,66,0.722904040393939
083,22,6,2.03777777783333
085,22,5,1.4083333334
089,22,1,1.785
091,22,5,2.4426666668
093,22,2,-1.37
095,22,4,5.805
097,22,3,5.06
099,22,5,2.0008333334
101,22,2,1.6975
103,22,12,2.15249999991667
105,22,15,4.8747063494
107,22,1,-0.57
111,22,4,30.04583333325
113,22,5,2.936
115,22,24,0.77799074075
117,22,9,-0.105648148111111
119,22,2,-0.1475
121,22,14,15.4547619047857
123,22,2,5.81125
125,22,7,7.97107142857143
127,22,7,11.4446428571429
001,23,1,0.81952381
003,23,4,1.0259297205
005,23,6,-0.997590343333334
007,23,4,-4.256388889
009,23,4,-0.418926407
011,23,6,-0.958274392333334
017,23,4,-1.74928240725
019,23,2,1.3533333335
021,23,1,0.006666667
025,23,1,-0.600833333
027,23,2,-1.7025
029,23,3,-1.26519493166667
031,23,2,0.0392727275
001,24,5,-0.1254626264
003,24,159,6.09803236533962
005,24,117,-0.948449232367521
009,24,45,17.5087366492444
011,24,16,-1.319452380875
013,24,5,-0.1167333332
015,24,14,2.99546753228571
017,24,78,20.8851498839231
019,24,27,8.5616084657037
021,24,6,-3.79856565666667
023,24,28,25.6291762411786
025,24,46,0.123342952086956
027,24,4,-2.77975
029,24,50,0.8270561472
031,24,14,0.371107761428572
033,24,50,10.6480662771
035,24,33,3.34428682430303
037,24,55,15.6072892106545
039,24,3,-3.91318181833333
041,24,11,6.88471212081818
043,24,8,-3.956359217625
045,24,6,-1.6926161615
047,24,30,-1.21218543783333
510,24,4,-17.41682837925
001,25,151,-1.64225341098676
003,25,11,-1.75020726654545
005,25,6,-0.328818181666667
007,25,12,-1.3020949075
009,25,5,-1.672430303
011,25,7,-1.125884869
013,25,10,-0.7055404041
015,25,6,-0.584075757833333
017,25,19,-0.226514895368421
019,25,13,-1.98184693084615
021,25,7,-1.99272510828571
023,25,29,-0.635681295724138
025,25,1,-0.051
027,25,20,-1.1130670468
013,26,1,2.05
021,26,1,-1.3
023,26,1,-4.4
025,26,1,-1.205
031,26,2,-3.735
033,26,1,-0.941666667
045,26,2,-5.947761905
055,26,1,-2.04
059,26,1,0.032
063,26,27,-0.427993827148148
065,26,7,-0.502804597714286
073,26,5,-0.1264958792
077,26,43,-0.958713228651163
091,26,1,0.97
097,26,1,-6.74
115,26,35,3.66076695497143
125,26,5,-0.1861
127,26,3,0.108762108333333
131,26,1,2.234
145,26,2,-3.386
153,26,3,-0.404166666666667
161,26,1,-1.475
003,27,1,1.193
007,27,144,0.121481674388889
013,27,1,-1.078666667
017,27,10,-0.9236124198
021,27,2,-0.0225
027,27,1,-3.07125
037,27,2,1.724166667
041,27,2,0.032767857
049,27,13,-0.816497669153846
053,27,5,3.9712142856
061,27,2,0.377261905
097,27,1,0.59
109,27,48,-0.757170642520833
111,27,4,0.022375
119,27,68,0.806422377514706
123,27,9,-3.41817460322222
125,27,12,-4.26264484133333
127,27,2,2.9725
137,27,2,-0.2945454545
139,27,3,0.328696969666667
141,27,7,-0.545306122571429
159,27,42,0.0208991874761905
165,27,1,1.051428571
173,27,3,-1.66833333333333
001,28,4,-2.46425
003,28,12,4.49295634866667
007,28,1,1.173333333
011,28,56,4.99492559525
015,28,1,1.3575
017,28,1,2.325
019,28,1,4.268333333
021,28,1,-6.405
025,28,2,-9.249
027,28,29,4.78141379310345
029,28,1,14.325
031,28,3,13.255
033,28,5,2.3285
035,28,3,8.08244444333333
037,28,1,-0.635
043,28,4,-0.698625
045,28,2,2.34
047,28,4,2.30908333325
049,28,16,24.9584506490625
051,28,5,2.134
053,28,34,1.03470588232353
055,28,10,1.55475
057,28,2,-0.9575
059,28,8,-6.596041667125
067,28,2,4.092
071,28,4,0.49583333325
073,28,1,10.452
077,28,1,1.63
079,28,3,13.53
081,28,7,-6.88785714285714
083,28,28,6.02922619060714
085,28,1,9.46
087,28,7,5.71285714285714
089,28,6,40.0042539175
093,28,1,1.665
095,28,5,0.9336
103,28,2,7.64
105,28,2,6.455
107,28,5,2.4325
117,28,4,2.68708333325
119,28,13,3.91692307692308
121,28,4,61.3286111125
123,28,1,5.8
125,28,18,1.50163888872222
127,28,3,13.2883333333333
133,28,41,9.24989547014634
135,28,21,6.95464285714286
137,28,2,2.575
139,28,1,24.6
141,28,4,6.345
143,28,26,5.29230769230769
145,28,2,5.445
149,28,13,-2.17358974361538
151,28,70,3.46954932304286
153,28,1,3.293333333
163,28,8,-0.253125
087,29,1,7.825
095,29,1,7.88
219,29,2,10.655
001,30,4,5.574375
003,30,8,-0.324798115125
005,30,5,0.1897238096
007,30,8,-1.6645
013,30,2,-0.7535
023,30,1,0.844285714
029,30,9,-2.02740740744444
031,30,4,0.07308333325
033,30,1,-0.89
043,30,7,1.28447562357143
047,30,1,-11.20733333
049,30,69,0.152851289173913
053,30,18,-2.95999537038889
055,30,1,-1.983333333
059,30,76,-0.261437267394737
061,30,4,1.18908333325
067,30,6,-0.3224305555
075,30,1,-1.262
077,30,2,1.543952381
081,30,18,-3.71401675472222
083,30,1,-1.835897436
085,30,2,-1.2225
087,30,8,-1.093375000125
089,30,7,-1.76041666657143
091,30,2,0.11
097,30,2,0.3841666665
099,30,1,2.411666667
111,30,12,2.54650877816667
001,31,61,4.98199552906557
003,31,38,1.10759868421053
005,31,20,-3.96625
007,31,62,4.61042882741935
009,31,21,0.776952380952381
011,31,26,-1.01192307692308
013,31,57,11.5470243787719
015,31,8,2.96125
017,31,39,3.4225641025641
019,31,91,5.57552761336264
021,31,39,1.9087111114359
023,31,52,5.46079624209615
025,31,13,0.603461538461538
027,31,27,1.96666666666667
029,31,67,13.3716870195522
031,31,87,0.777464878666667
033,31,64,2.9599006885625
035,31,80,4.8290113636375
037,31,29,7.58534482758621
039,31,25,-0.7302
041,31,99,2.34075757575758
043,31,10,1.7225
045,31,6,1.0275
047,31,183,5.21270568867213
049,31,24,1.014375
051,31,11,1.84136363636364
053,31,62,1.51729876440323
055,31,5,1.5533333334
057,31,78,19.2204509592436
059,31,108,1.90705583616667
061,31,22,2.29818181818182
063,31,38,-1.23173245613158
065,31,22,2.72738636363636
067,31,27,3.09271043781482
069,31,87,2.01346743295402
071,31,15,0.0245555555333333
073,31,109,1.19018348624771
075,31,4,0.625
077,31,20,-0.74304166665
079,31,95,4.06708930663158
081,31,134,4.05527754713433
083,31,67,0.162104655283581
085,31,20,5.30014166665
087,31,28,1.36656944446429
089,31,93,4.69314157705376
091,31,10,-2.039
093,31,41,4.19085365853659
095,31,28,4.84237012985714
097,31,21,0.360734127
099,31,89,2.3825655431573
101,31,50,2.00175384602
103,31,19,2.70372598163158
105,31,33,5.53504489336364
107,31,24,-0.236041666666667
109,31,59,2.2002158998983
111,31,73,2.29834331628767
113,31,8,2.40375
115,31,19,0.807368421052632
117,31,18,-1.14486111111111
119,31,36,-4.18638888888889
121,31,71,3.26325117371831
123,31,112,2.8777413690625
125,31,31,1.42935483870968
127,31,1,6.545
129,31,32,4.6140625
131,31,2,6.3375
135,31,88,11.4485397727273
137,31,121,1.56977961431405
139,31,59,3.24898305084746
141,31,40,3.812625
143,31,62,6.57069124424194
145,31,30,1.1369384921
147,31,4,4.76875
149,31,22,4.55590909090909
151,31,34,4.18639037432353
153,31,22,-0.553106060590909
155,31,74,1.52234743671622
157,31,225,2.10901214397778
