Aquifer,avg_decrease,Decreasing_sites,Increasing_sites,Total_sites
Hawaii volcanic-rock aquifers,39.71933333,2,,2
Texas coastal uplands aquifer system,31.1524493,5,,5
Snake River Plain basaltic-rock aquifers,17.75004219,13,1,14
California Coastal Basin aquifers,14.36695015,676,268,944
High Plains aquifer,13.47316436,3275,758,4033
Columbia Plateau basaltic-rock aquifers,12.61932569,76,37,113
Arbuckle-Simpson aquifer,8.298027778,5,1,6
Pacific Northwest volcanic-rock aquifers,8.190460317,5,2,7
Blaine aquifer,5.964266667,12,3,15
Mississippi River Valley alluvial aquifer,5.744847531,717,155,872
Southern Nevada volcanic-rock aquifers,5.173392481,37,77,114
Central Oklahoma aquifer,4.6916,4,1,5
Rio Grande aquifer system,3.819044324,401,100,501
Central Valley aquifer system,3.756533911,104,87,191
N/A,3.270851907,8131,4036,12167
Northern Atlantic Coastal Plain aquifer system,3.159031965,651,764,1415
Pennsylvanian aquifers,2.63551784,37,75,112
New York sandstone aquifers,2.227825758,2,,2
Ada-Vamoosa aquifer,2.167142857,2,,2
Southeastern Coastal Plain aquifer system,1.904963407,66,53,119
Lower Cretaceous aquifers,1.882145806,50,30,80
Basin and Range basin-fill aquifers,1.837779845,1261,670,1931
Alluvial aquifers,1.777409049,873,437,1310
Castle Hayne aquifer,1.704714762,20,5,25
Columbia Plateau basin-fill aquifers,1.513,1,2,3
Other aquifers,1.214332371,316,279,595
Silurian-Devonian aquifers,1.048862577,69,55,124
Ordovician aquifers,0.73530303,3,1,4
Northern Rocky Mountains Intermontane Basins aquifer systems,0.723257576,1,1,2
Alaska unconsolidated-deposit aquifers,0.312815152,4,2,6
Seymour aquifer,0.15452381,1,,1
Marshall aquifer,-0.248088235,9,8,17
Sand and gravel aquifers (glaciated regions),-0.519174357,639,940,1579
Lower Tertiary aquifers,-0.552649573,4,9,13
Piedmont and Blue Ridge crystalline-rock aquifers,-0.560913428,191,206,397
Valley and Ridge aquifers,-0.994296842,77,96,173
Colorado Plateaus aquifers,-1.007357299,7,5,12
Mississippi embayment aquifer system,-1.07517081,236,162,398
Basin and Range carbonate-rock aquifers,-1.212931649,18,42,60
Mississippian aquifers,-1.59959365,27,35,62
New York and New England carbonate-rock aquifers,-1.782442496,5,5,10
Pacific Northwest basin-fill aquifers,-1.830722222,3,3,6
New England crystalline-rock aquifers,-2.044607335,6,20,26
New York and New England crystalline-rock aquifers,-2.044607335,6,20,26
Willamette Lowland basin-fill aquifers,-2.124085213,6,8,14
Rush Springs aquifer,-2.447295455,15,29,44
Early Mesozoic basin aquifers,-2.70202162,23,82,105
Wyoming Tertiary aquifers,-2.805,,1,1
Upper Cretaceous aquifers,-3.208814484,13,15,28
Puget Sound aquifer system,-3.416324405,3,5,8
Snake River Plain basin-fill aquifers,-3.950321193,3,1,4
Paleozoic aquifers,-5.419571665,22,50,72
Piedmont and Blue Ridge carbonate-rock aquifers,-6.109705742,3,16,19
Surficial aquifer system,-9.840128489,29,30,59
Coastal lowlands aquifer system,-14.08515353,351,559,910